version,category,model_profile_id,model_profile_label,total_cases,error_rate,top1_accuracy_strict,top1_accuracy_acceptable,top3_accuracy_strict,top3_accuracy_acceptable,unknown_rate,behavior_match_rate,expected_no_answer_recall,expected_human_review_recall,expected_blocked_recall,human_review_rate,no_answer_rate,injection_detection_rate,guardrail_trigger_rate,retrieved_source_coverage,used_source_coverage,retrieved_expected_source_match_rate,used_expected_source_match_rate,retrieval_expansion_rate,avg_confidence,avg_calibrated_confidence,avg_risk_score,avg_completeness_score,avg_completeness_ratio,avg_covered_key_information,missing_info_question_rate,avg_processing_time_seconds,false_draft_risky_rate
v1,ambiguous,local_baseline,Local Baseline,19,0.0,0.7895,0.9474,0.8947,1.0,0.0,0.1053,0.0,0.0,,,,,,,,,,,0.7474,,,,0.1404,0.4737,0.0,1.8814,
v1,email_like,local_baseline,Local Baseline,44,0.0,0.7727,0.8409,0.9773,1.0,0.0455,0.4091,0.0,0.0,0.0,,,,,,,,,,0.75,,,,0.2011,0.8864,0.0,1.9631,1.0
v1,high_risk,local_baseline,Local Baseline,25,0.0,0.8,0.84,0.92,0.92,0.2,0.0,0.0,0.0,,,,,,,,,,,0.636,,,,0.0713,0.28,0.0,1.7923,1.0
v1,injection,local_baseline,Local Baseline,10,0.0,0.5,0.5,0.5,0.5,0.5,0.0,,0.0,0.0,,,,,,,,,,0.49,,,,0.0,0.0,,3.9157,1.0
v1,multi_intent,local_baseline,Local Baseline,14,0.0,0.6429,0.8571,0.7857,1.0,0.0,0.1429,0.0,0.0,,,,,,,,,,,0.7571,,,,0.2012,0.7143,0.0,2.099,
v1,realistic,local_baseline,Local Baseline,27,0.0,0.8148,0.8889,0.8519,0.8889,0.0741,0.5185,0.0,0.0,,,,,,,,,,,0.7667,,,,0.1599,0.5926,0.0588,1.9305,
v1,standard,local_baseline,Local Baseline,55,0.0,0.8182,0.8727,0.9455,0.9455,0.0,0.9091,,0.0,,,,,,,,,,,0.7727,,,,0.2558,1.0182,0.0,1.9208,
v1,unanswerable,local_baseline,Local Baseline,6,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,,,,,,,,,,,0.4667,,,,0.0,0.0,0.0,1.5398,1.0
v1,ambiguous,openai_baseline,OpenAI Baseline,19,0.0,0.7895,0.9474,0.8421,1.0,0.0526,0.1053,0.0,0.0,,,,,,,,,,,0.7789,,,,0.1772,0.6316,0.0,1.8462,
v1,email_like,openai_baseline,OpenAI Baseline,44,0.0,0.8864,0.9318,0.9091,0.9318,0.1136,0.4091,0.0,0.0,0.0,,,,,,,,,,0.75,,,,0.1943,0.8636,0.0233,1.6807,1.0
v1,high_risk,openai_baseline,OpenAI Baseline,25,0.0,0.8,0.84,0.8,0.84,0.4,0.0,0.0,0.0,,,,,,,,,,,0.48,,,,0.04,0.16,0.0,1.6957,1.0
v1,injection,openai_baseline,OpenAI Baseline,10,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,1.6544,1.0
v1,multi_intent,openai_baseline,OpenAI Baseline,14,0.0,0.7857,1.0,0.8571,1.0,0.0,0.1429,0.0,0.0,,,,,,,,,,,0.8071,,,,0.1333,0.4286,0.0,3.1306,
v1,realistic,openai_baseline,OpenAI Baseline,27,0.0,0.7778,0.8519,0.9259,0.9259,0.1481,0.5185,0.0,0.0,,,,,,,,,,,0.7111,,,,0.1327,0.4444,0.0588,1.8014,
v1,standard,openai_baseline,OpenAI Baseline,55,0.0,0.7636,0.8,0.8182,0.8182,0.1818,0.9091,,0.0,,,,,,,,,,,0.6982,,,,0.2661,1.0364,0.0,1.7792,
v1,unanswerable,openai_baseline,OpenAI Baseline,6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,1.2116,1.0
v2,ambiguous,local_baseline,Local Baseline,19,0.0,0.7368,0.9474,0.9474,1.0,0.1053,0.1053,0.0,0.0,,,,,,1.0,1.0,0.3611,0.3611,,0.8263,,,,0.2377,0.8947,0.8947,7.5221,
v2,email_like,local_baseline,Local Baseline,44,0.0,0.8182,0.8636,0.8864,0.9091,0.1364,0.4091,0.0,0.0,0.0,,,,,1.0,1.0,0.4127,0.4127,,0.8545,,,,0.392,1.7045,0.9302,7.8012,1.0
v2,high_risk,local_baseline,Local Baseline,25,0.0,0.64,0.68,0.76,0.76,0.36,0.0,0.0,0.0,,,,,,1.0,1.0,0.3611,0.3611,,0.65,,,,0.152,0.64,0.96,7.7651,1.0
v2,injection,local_baseline,Local Baseline,10,0.0,0.5,0.5,0.5,0.5,0.5,0.0,,0.0,0.0,,,,,1.0,1.0,,,,0.66,,,,0.0,0.0,,5.6337,1.0
